"ID пункта";Оператор;Регион;Город;Кладр-код;Адрес;"Станция метро";"Как найти";"Режим работы";"Макс. вес заказа";Широта;Долгота;Телефон;E-mail;"Срок доставки";"Пункт принимает заказы";"Доступна оплата картой";"Только предоплаченные заказы"
SZ-SPB-Avtovo;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пр.Стачек, д.75 - за пав.""Мастер Кебаб""";Автово;;"пн-пт 11-20, сб-вс вых.";20;59.86722200;30.25949000;"8 (812) 407-36-20";glavpunkt.avtovo@gmail.com;1-2;1;1;0
AB-SPB-Akademicheskaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пр.Науки, д.17 к2, вверх по пандусу";Академическая;;"пн-вс 10-21";20;60.01492200;30.38554100;"8 (812) 407-20-24";akademglavpunkt@gmail.com;1-2;1;1;0
PS-SPB-Astafeva;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул Асафьева д 5к 1";Асафьева;"<p>Общий вход с салоном красоты ""Леди"". Для прохода на домовую территорию на домофоне калитки нажать ""Салон"".</p>";"пн-пт 10-21, сб 10-20, вс-вых";50;60.04836260;30.32384225;8-812-5974239;postservicespb@yandex.ru;1-3;1;1;0
MS-SPB-Bykonurskaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Байконурская ул., д.26";Байконурская;"<p><span>Метро ""Комендантский проспект"" и ""Пионерская"", Остановка: Парашютная улица, Автобусы: 170. Маршрутное такси: 232, 308. Выйдя из транспорта пройти 140 метров. Остановка: Байконурская улица, Автобусы: 9, 85, 127, 134Б, 135,171, 172. Маршрутное такси: 55. При выходе из транспорта перейти улицу Парашютная и пройти 140 метров. Вход в помещение с торца здания с правой стороны дома напротив входа в магазин ""Пятерочка"", вывеска,""OZON"",""Фотокопицентр"", ""Сервисный центр"", 1 этаж.</span></p>";"Пн-Пт 10-20, Сб-Вс 10-19";50;60.01446618;30.27927100;8-950-031-47-79;photo_bykonur@mail.ru;1-3;1;1;0
Lyzhnyj-L3-guk;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Мебельная, д. 35, к. 2";"Беговая 2";"<p><span><strong>Пункт с ограниченным функционалом (работает строго на выдачу заказов, приемка для последующего перемещения заказов в другие ПВЗ не осуществляется)</strong></span></p>
<p>Как найти: 1 этаж жилого дома, вход со стороны ул. Мебельная, третья башня от Лыжного пер., красная дверь, вывеска OZON.</p>";"пн-вс 10-21";20;59.99563800;30.19957200;"8 (960) 270-63-78";lyzhniy3@pvzspb.ru;1-2;0;1;0
Bolshevikov-P4k1;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Клочков пер., д. 12";Большевиков;"<p>Из метро Большевиков выйти налево, пройти по проспекту Пятилеток до пересечения с Клочковым переулком, перейти по зебре проспект и переулок. ПВЗ находится на первом этаже в 16-этажном жилом доме, прямой вход с проспекта Пятилеток.</p>";"пн-вс 10-21";20;59.92189024;30.46394051;"8 (812)407-30-48";glavpunktbolshevikov@gmail.com;1-2;1;0;0
BYA-SPB-Sampson;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Большой Сампсониевский д.44";"Большой Сампсониевский";"<p><span>Большой Сампсониевский проспект 44, станция метро Выборгская, далее пешком по ул. Смолячкова, автобус 86. Ориентир - Магазин цветов CVETCLUB</span></p>";"пн-вс 9-21";50;59.97119198;30.34039302;8-921-965-01-48;sampson44@yandex.ru;1-3;1;1;0
BYA-SPB-Sofiyskaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Софийская ул. д.8 к.1 с1";Бухарестская;"<p><span>Ориентир магазин цветов CVETCLUB</span></p>";"пн-вс 9-21";50;59.88228244;30.39224925;8-921-905-30-14;sofiyskaya@yandex.ru;1-3;1;1;0
LIT-SPB-VO26liniya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"26-ая линия В.О. д.7";"В.О. 26-линия";"<p><span>Маршрутка 359Б Остановка:&nbsp;</span><span class=""js-extracted-address js-extracted-highlighted-address mail-Message-Map-Link"">26-я и 27-я&nbsp;<span class=""mail-Message-Map-NoBreak"">линии</span></span><span>&nbsp;В.О. Перейдите через перекресток от остановки в сторону ЖК Палацио идите направо вдоль дома - смотрите на вывеску Озон!</span></p>";"пн-вс 10-22";50;59.92881377;30.26025580;8-951-640-42-60;26liniya7@yandex.ru;1-3;1;1;0
AB-SPB-Veteranov;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пр.Ветеранов, д.36,к.2, ТЦ Манхэттен, 2 этаж";Ветеранов;"<p><span style=""color: #008000;""><strong>&nbsp;</strong></span></p>";"пн-пт 11-20";20;59.84295600;30.24755100;"8 (812) 407-26-28";glavpunkt.veteranov@gmail.com;1-2;1;1;0
BYA-SPB-Veteranov;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Пр. Ветеранов д.130";"Ветеранов 130";"<p><span>м.Ветеранов. Остановка ул. Добровольцев. ПВЗ располагается напротив остановки. Общественный транспорт: маршрутки(184, 130,20) Автобус(130, 68)</span></p>";"пн-вс 9-21";50;59.83259300;30.17375500;8-921-560-87-72;Ozonveteranov130@yandex.ru;1-3;1;1;0
Gavanskaya-G42-guk;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Гаванская, д. 42";"Гаванская ул.";"<p>1-й этаж жилого дома, вход со стороны Малого пр. ВО.</p>
<p>Пункт с ограниченным функционалом (работает строго на выдачу заказов, приемка и последующее перемещение заказов в другие ПВЗ не осуществляется).</p>";"пн-вс 10-21";20;59.93746800;30.23745400;"8 (965) 091-92-46";gavanskaya42@pvzspb.ru;1-2;0;1;0
BYA-SPB-Geroev;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пр. Героев д.32";Героев;"<p><span>м. Автово. остановка Адмирала Трибуца. Автобус 300, троллейбус 41. Правое крыло 32 дома, вход в пункт выдачи напротив наземного паркинга дома 34. Ориентир ""Школа языков""</span></p>";"пн-вс 9-21";50;59.85752315;30.15139338;8-921-905-73-14;ozongeroev@yandex.ru;1-3;1;1;0
MS-SPB-Gluharskaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Глухарская ул., д.5, к.3, пом. 2/6";Глухарская;"<p><span>Метро ""Комендантский проспект"", Остановка: Глухарская 2, Автобусы: 85, 170, 171, 182. Маршрутное такси: 71, 91а. При выходе из транспорта повернуть налево и пройти 60 метров. Остановка: Глухарская улица, Автобусы: 85, 171, 182. Маршрутное такси: 14. При выходе из транспорта перейти улицу Глухарская повернуть на право и пройти 200 метров. ТЦ ""Глухарский"", вывеска,""Фотокопицентр"", ""Сервисный центр"", 2 этаж.</span></p>";"Пн-Пт 10-20, Сб-Вс 10-19";50;60.02835700;30.21459200;8-950-031-32-47;photo_kamenka@mail.ru;1-3;1;1;0
PS-SPB-Goncharnaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Гончарная д.15А";Гончарная;"<p><span>ПВЗ находится во дворе дома на цокольном этаже. Проход по Гончарной улице до дома 11. Вход в арку (у вывески Багет) и дальше через проходной двор к Московскому вокзалу. Вход в пункт под арку с железными воротами. код ""2323В"" (Рядом с аркой вход в магазин продукты на цокольный этаж)</span></p>";"пн-сб 11-20, вс-вых";50;59.92806800;30.36481700;8-911-179-81-04;postservicespb@yandex.ru;1-3;1;1;0
SZ-SPB-Grazhdanskiy;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пр. Просвещения, д87, к1, «Северо-Муринский ун-г», 2 эт, направо";Гражданский;"<p><span style=""font-size: large; color: #ff0000;""><strong>""Северо-Муринский универмаг"" (2 этаж, направо с лестницы = вернуться по этажу в сторону метро), напротив ""Северной галереи"".</strong></span></p>
<p>&nbsp;</p>
<p><span style=""color: #008000;""><strong>&nbsp;</strong></span></p>";"пн-пт 11-20, сб-вс вых.";20;60.03584100;30.41574300;"8 (812) 407-23-37";glavpunkt.grazhdankij@gmail.com;1-2;1;1;0
Grazhdanskiy-G105;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Гражданский пр-т 105к1";Гражданский2;"<p>Остановка проспект Луначарского, пункт выдачи расположен в жилом доме, вход с Гражданского проспекта.</p>
<p>Вход через кафе&nbsp;Baggins Coffee</p>";"пн-вс 10-21";20;60.02666700;30.41267100;8(812)407-36-80;grajdanskii@glavpunkt.ru;1-3;1;1;0
BYA-SPB-Dvinskaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Двинская ул. д.10 к.2";Двинская;"<p><span>Метро Нарвская,Балтийская, остановки общественного транспорта ""Двинская улица 9"", автобус 22,43,49,65,66,67,67Б,70,71,. маршрутное такси К-115, К-66, К-67, К-90. Здание находится во дворе, соседи Ресторан и магазин цветов.</span></p>";"пн-вс 9-21";50;59.90847282;30.24764446;8-921-560-45-62;ozondvinskaya@yandex.ru;1-3;1;1;0
ID-SPB-Deviatkino;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"п. Мурино, Привокзальная пл., д.3, к.1";Девяткино;"<p><span style=""color: #008000;""><strong>&nbsp;</strong></span></p>";"пн-вс 10-21";20;60.05244700;30.44674400;"8 (812) 407-14-80";glavpunktdevjatkino@gmail.com;1-2;1;1;0
Dunaiskaya-B124;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Бухарестская ул., д. 124";Дунайская;"<p><span>Пункт выдачи находится в левой части жилого 16-этажного дома, первая парадная со стороны Бухарестской ул.</span></p>";"пн-вс 10-21";20;59.84421100;30.40874300;"8 (921) 909-38-31";tochka.dunay@yandex.ru;1-2;1;1;0
AB-SPB-Dybenko;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Дыбенко, 27, к.1, вход со двора, ближе к метро";Дыбенко;;"пн-вс 10-21";20;59.90559200;30.47991800;"8 (812) 407-23-25";glavpunkt.dybenko@gmail.com;1-2;1;1;0
